nhse_ccg_code,ons_ccg_code,total_all,total_male,total_female,male_0_4,male_5_9,male_10_14,male_15_19,male_20_24,male_25_29,male_30_34,male_35_39,male_40_44,male_45_49,male_50_54,male_55_59,male_60_64,male_65_69,male_70_74,male_75_79,male_80_84,male_85_89,male_90_94,male_95,female_0_4,female_5_9,female_10_14,female_15_19,female_20_24,female_25_29,female_30_34,female_35_39,female_40_44,female_45_49,female_50_54,female_55_59,female_60_64,female_65_69,female_70_74,female_75_79,female_80_84,female_85_89,female_90_94,female_95
04E,E38000103,191576,95274,96302,5824,5928,5171,4977,5592,6471,6580,6040,5984,7186,7252,6435,5475,5381,4518,2977,1983,1053,377,70,5594,5768,4924,4696,5579,6648,6471,5919,5755,6851,7140,6333,5448,5397,4866,3463,2649,1725,822,254
04F,E38000107,288138,144355,143783,9931,10969,9474,8275,7730,9814,11190,12221,11598,11056,10008,8457,6960,6159,4464,2852,1755,1004,363,75,9559,10338,8974,7658,7565,10697,11773,11942,10705,10228,9438,8166,7129,6539,4751,3248,2376,1591,880,226
04G,E38000108,671013,335441,335572,20482,22216,19707,18954,19298,21693,22997,23434,23394,26012,25365,20971,17779,17782,14577,9352,6331,3480,1315,302,19622,21029,19355,18014,19463,22584,23162,22469,22386,24636,23912,20423,17586,18696,15196,10160,7743,5414,2706,1016
04H,E38000109,133084,65795,67289,3577,3853,3657,3608,3669,3964,3864,3712,4050,5129,5213,4574,3998,4164,3539,2397,1639,836,296,56,3366,3792,3530,3402,3651,3941,3893,3764,4075,4978,5120,4633,4109,4332,3798,2652,2056,1332,661,204
04J,E38000115,291974,144618,147356,6902,7827,7541,7698,7981,8403,8109,8097,8940,11253,11837,10739,9472,9683,8165,5423,3682,1973,749,144,6826,7678,7204,7114,7437,8132,7861,8037,8834,11127,11652,10600,9450,10050,8838,6339,4826,3209,1599,543
04K,E38000132,372211,192151,180060,11176,11319,9434,14063,25089,20438,17454,14170,11816,11433,10883,8911,7095,6303,4686,3362,2500,1416,488,115,10585,10613,8975,15178,26175,15705,13723,11296,9909,10175,9926,8543,6901,6149,4945,4097,3401,2295,1146,323
04L,E38000133,151353,74583,76770,4387,4608,4188,3826,3974,4644,4645,4675,4621,5815,5898,5109,4244,4507,3656,2630,1826,896,356,78,4214,4255,3838,3707,3930,4990,4855,4752,4799,5647,5712,5026,4489,4642,4011,3088,2344,1541,706,224
04M,E38000134,93623,46389,47234,2629,2774,2341,2310,2566,3148,3136,2953,3003,3614,3516,3027,2612,2716,2374,1607,1126,633,252,52,2459,2544,2326,2180,2510,3114,3183,2899,2913,3387,3522,3010,2627,2947,2498,1920,1510,1011,479,195
04N,E38000142,125076,61374,63702,3329,3838,3676,3311,3116,3377,3471,3859,4214,4720,4747,4224,3571,3805,3142,2090,1594,869,340,81,3139,3660,3371,3187,3253,3392,3702,4115,4234,4805,4763,4235,3699,3843,3463,2440,2027,1443,721,210
04Q,E38000165,132845,65520,67325,3358,3809,3787,3719,3487,3558,3382,3416,3801,5020,5349,4674,4190,4325,3866,2603,1775,950,366,85,3242,3856,3656,3501,3257,3522,3598,3536,4066,5259,5355,4663,4145,4592,4012,2818,2015,1335,679,218
04R,E38000169,548172,275723,272449,15909,17234,16130,16109,17279,18242,18438,18121,18847,21043,20506,17442,14930,14775,12186,8198,5717,3240,1144,233,15248,16517,14904,15117,16382,17721,17887,17334,17160,19804,19690,16831,14817,15211,12791,9345,7495,4976,2472,747
04V,E38000201,384945,194262,190683,10530,11047,10630,12407,14741,12802,11979,11860,12213,14252,14134,12460,11087,11431,9256,6028,4102,2315,802,186,9921,10549,9875,11017,12581,11917,11952,11711,11872,13870,13633,12275,10967,11527,9670,6641,5000,3450,1715,540
04X,E38000013,311103,159431,151672,11114,11983,10711,10232,12134,14304,14331,13026,11633,10855,9240,7828,6353,5019,3891,2932,2162,1166,417,100,10736,11262,10141,10023,13931,13432,12887,11178,9200,9087,8051,6997,5905,5310,4260,3406,2716,1961,882,307
04Y,E38000028,132019,65809,66210,3683,3690,3628,3659,3923,4364,4134,3687,4161,5381,5301,4511,3785,3844,3362,2299,1378,737,229,53,3514,3638,3370,3402,3664,4213,4169,3810,4018,5123,5101,4377,3853,4026,3557,2616,1785,1215,556,203
05A,E38000038,505112,256895,248217,15589,16445,14363,16764,23533,20493,20036,18378,16841,17971,16900,14423,11330,10177,8863,6371,4424,2662,1052,280,14773,15603,13647,16091,23991,19334,18677,16539,14870,15739,15170,12751,10913,10621,9619,7352,5829,3869,2023,806
05C,E38000046,317629,158213,159416,9404,9478,9056,8906,9230,10134,9924,9566,9900,12279,11703,10133,9001,8870,7983,5709,3906,2142,721,168,8930,9039,8698,8326,8999,10020,10102,9341,9547,11566,11248,9749,8935,9266,8397,6576,5136,3497,1520,524
05D,E38000053,139866,69993,69873,4082,4359,4053,3853,3893,4681,4581,4480,4398,5329,5395,4754,4031,3919,3229,2207,1562,823,300,64,3800,4284,3913,3699,3781,4571,4400,4120,4265,5170,5234,4510,3925,3914,3564,2564,2054,1352,589,164
05F,E38000078,185775,91954,93821,4705,5158,4966,4855,4624,5205,5051,4949,5222,6489,6998,6747,6099,6458,5552,3833,2799,1556,571,117,4316,4723,4572,4572,4431,5345,5052,4907,5066,6705,7091,6637,6371,6652,5825,4205,3460,2300,1213,378
05G,E38000126,217407,108498,108909,5325,5844,5570,6507,7340,6670,6425,6214,6622,8172,8092,7424,6603,6979,5910,4037,2721,1437,515,91,4986,5428,5372,6135,7565,6335,6059,5889,6397,7824,7797,7255,6693,7227,6016,4583,3505,2357,1119,367
05H,E38000195,189010,94366,94644,5453,5618,5029,5120,5383,6249,6033,5752,6025,7133,7301,6354,5621,5714,4815,3167,2079,1107,341,72,5093,5432,5070,4884,5117,6236,5983,5649,5697,6890,6957,6182,5461,5967,5017,3588,2679,1726,770,246
05J,E38000139,176311,88011,88300,5101,5473,5109,5084,4745,5519,5572,5680,5821,6515,6567,5765,5304,5262,4341,2736,1860,1106,367,84,4869,5032,4775,4604,4595,5631,5596,5707,5519,6287,6391,5837,5494,5328,4455,3045,2367,1694,826,248
05L,E38000144,578517,297788,280729,20329,21118,19081,18339,21092,25937,25616,23762,21827,21471,18787,15508,12396,10024,8131,6370,4537,2450,817,196,19123,20084,17969,17527,22037,24061,23650,20219,17454,17952,17015,13851,11464,10192,8807,7439,5910,3777,1623,575
05N,E38000147,306336,151357,154979,7489,7992,8252,8821,7892,8254,7972,7713,8576,11200,11874,11014,10016,10587,9328,6435,4473,2427,852,190,6897,7719,7980,8117,7295,8007,7838,7813,8887,11327,12001,10930,10224,11018,9908,7279,5361,3720,1988,670
05P,E38000149,246910,121599,125311,7317,7862,7409,7109,6763,7598,7635,7474,7707,9321,9196,8004,6381,6562,5903,3948,2850,1739,680,141,6961,7387,6914,6448,6724,7812,7896,7775,7769,9119,9137,7978,6605,7084,6485,4687,3954,2767,1349,460
05Q,E38000153,217450,107938,109512,5748,6377,6084,5902,5826,6803,6545,6448,6923,8446,8184,7250,6557,6677,5766,4004,2560,1299,444,95,5513,6040,5645,5513,5709,6569,6492,6405,6833,8106,8153,7424,6809,6903,6315,4483,3253,2053,985,309
05R,E38000164,280782,141148,139634,7016,7811,7480,7176,6830,9139,9351,9715,9689,10799,11003,9600,8222,8297,7443,5016,3559,2056,771,175,6766,7347,7227,6485,6720,8484,8545,8635,9109,10441,10467,9212,8157,8732,7948,5619,4470,3174,1558,538
05T,E38000166,306342,151576,154766,7825,8459,8390,8423,8630,9067,8926,9099,9166,11276,11794,10546,9216,9632,8144,5696,4139,2181,796,171,7438,8116,8021,8448,8641,8917,8869,8866,9136,11169,11514,10284,9530,9977,8694,6508,4930,3425,1714,569
05V,E38000173,147808,74167,73641,3775,4068,3827,3718,4242,4511,4595,4456,4642,5699,5607,5144,4502,4714,4261,2979,1946,1013,385,83,3483,3962,3674,3477,3684,4213,4271,4236,4460,5428,5603,5019,4525,5013,4602,3183,2344,1478,732,254
05W,E38000175,288462,146201,142261,9382,9534,8429,7997,9334,11273,10899,9943,9403,10555,10087,9083,7782,7377,6061,4215,2789,1494,486,78,8945,9510,7909,7584,9098,10615,10085,8879,8313,9672,9331,8456,7479,7334,6343,4907,3821,2533,1125,322
05X,E38000183,183541,91876,91665,5681,6160,5527,5661,6159,6124,6087,5882,6022,7013,6780,5734,4936,4793,3849,2671,1632,842,264,59,5328,5817,5325,5392,6014,6138,6060,5636,5762,6762,6570,5661,4921,5017,4158,2967,2101,1261,568,207
05Y,E38000191,282120,140726,141394,9585,10018,9238,8607,8560,9541,9648,9231,8901,10319,9568,8500,7250,6648,5596,4339,2925,1590,522,140,9112,9433,8722,8161,8585,9993,9962,8850,8357,9629,9225,8266,7008,6852,6103,5064,3983,2539,1173,377
06A,E38000210,274984,138334,136650,9009,9427,8295,7919,8822,10288,10253,9695,9688,10369,9558,8041,6662,6121,4930,3934,2838,1659,637,189,8518,8927,7907,7575,8673,10283,10150,9208,8451,9424,8906,7846,6666,6266,5281,4598,3698,2639,1214,420
06D,E38000211,115212,57388,57824,3008,3218,3113,2907,2923,3224,3168,3141,3566,4343,4413,3856,3474,4134,3692,2419,1609,833,293,54,2905,2991,2879,2806,2742,3153,3115,3059,3405,4359,4292,3699,3616,4339,3840,2660,1948,1181,633,202
06F,E38000010,471779,235650,236129,14788,15538,13950,13300,13411,15036,15642,16259,16068,17927,18179,15594,12621,12194,9903,6687,4742,2627,989,195,14082,14859,13247,11943,12471,15236,16367,16586,15814,17184,17512,14941,12597,12942,10511,7493,6089,3878,1763,614
06H,E38000026,947306,478227,469079,28121,29803,26237,27599,33367,38216,37377,35888,33352,33601,32422,28235,23062,22799,18827,12734,8990,5200,1980,417,26790,27924,24577,26437,32859,36074,35066,32382,30568,32067,31148,27052,23785,23786,19916,14425,11228,7754,3892,1349
06K,E38000049,591919,294212,297707,17979,19113,17370,17139,18006,19047,19503,20643,20481,22532,22973,19314,15236,13857,11438,8096,6253,3659,1294,279,16968,18216,16563,16421,17601,19327,20226,20713,20116,21873,21957,18359,14850,14551,12736,9815,8219,5634,2691,871
06L,E38000086,403520,200716,202804,10790,11844,11683,11397,10425,11937,12527,12671,12636,14371,14898,13389,11832,12636,10552,7332,5331,3078,1121,266,10331,11416,10999,10521,10279,12129,11999,11989,12175,14260,14650,13360,12218,13066,11048,8125,6500,4571,2353,815
06M,E38000063,238040,118717,119323,6037,6659,6112,6420,6814,7513,7015,6686,6788,8182,8566,7813,7273,8247,7317,4970,3442,1977,712,174,5795,6301,6035,6072,6363,6936,6458,6145,6563,8065,8493,7839,7590,8376,7713,5310,4281,3041,1413,534
06N,E38000079,638326,317108,321218,20175,21883,19581,17410,15808,19636,21513,24411,24956,25044,24434,20273,16033,14312,11773,7905,6397,3715,1517,332,19678,20809,18798,16431,16338,20463,22986,24747,23332,23740,22851,19241,15717,15213,12920,9676,8245,5886,3004,1143
06P,E38000102,230360,118143,112217,9005,9111,8134,7063,7205,9237,10258,10212,8656,8160,7634,6224,4936,3928,2964,2378,1777,875,320,66,8381,8682,7616,6673,7713,9573,10117,8848,7205,6932,6666,5480,4507,3790,3235,2649,2131,1303,525,191
06Q,E38000106,387474,191567,195907,11082,11978,11237,11086,10461,11531,11591,12013,12685,14586,14611,12513,11102,11238,9723,6104,4485,2448,911,182,10192,11283,10846,10030,10473,11985,11915,12505,12964,14713,14353,12477,11182,11894,10209,7092,5398,3859,1867,670
06T,E38000117,346715,169816,176899,9554,10125,9247,10286,11909,10941,9725,9754,10061,11701,11632,10499,9332,10565,9563,6584,4595,2596,957,190,9089,9600,8884,9692,12090,10829,10140,10258,10263,11697,11900,10639,10036,11556,10431,7373,5785,3928,2024,685
06V,E38000124,172491,84513,87978,3736,4201,4253,4099,4129,4018,3908,3915,4518,5846,6198,6014,5944,7119,6434,4267,3243,1836,688,147,3529,4002,3928,3973,3820,3829,3926,4041,4667,5922,6441,6443,6473,7479,6630,4660,3787,2639,1317,472
06W,E38000131,219959,109038,110921,5989,6018,5109,6146,9657,9313,8641,8183,7452,7577,7151,6001,5090,5161,4194,3031,2293,1386,526,120,5665,5730,4888,6831,11768,9632,8173,7299,6440,6693,6485,5738,5422,5286,4627,3508,3019,2252,1084,381
06Y,E38000159,237531,117388,120143,6490,6863,6662,6639,5970,6625,6692,6767,7064,8512,8886,7775,6922,7690,6966,4824,3335,1881,674,151,6315,6498,6060,6244,5887,6700,6849,6836,7316,8644,8799,7889,7371,8074,7125,5092,3976,2724,1294,450
07G,E38000185,173375,85895,87480,6403,6603,5721,5151,5069,5710,6063,6269,6185,6430,6207,5040,3993,3905,2891,1881,1282,770,279,43,6000,6265,5358,4820,5088,6320,6879,6675,6159,6148,5843,4688,3954,4000,3194,2366,1750,1214,582,177
07H,E38000197,307828,151330,156498,9638,10248,9143,8642,8189,9149,9762,10506,10296,11306,11463,10183,8332,7760,6353,4255,3213,2005,728,159,9235,9648,8655,7854,7924,10004,10819,10861,10381,11491,11567,9953,8385,8097,6959,5059,4270,3181,1595,560
07J,E38000203,173804,85315,88489,4357,4675,4417,4295,4589,4915,4820,4533,4882,5838,6181,5787,5396,6074,5558,3911,2830,1560,583,114,4226,4499,4137,4182,4259,5114,4787,4424,4940,5949,6243,5991,5840,6575,5874,4401,3329,2267,1104,348
07K,E38000204,248162,123057,125105,6459,7065,6645,6487,6197,7277,7429,7835,7879,9234,9423,8162,7156,7974,6919,4853,3374,1824,699,166,6162,6749,6467,5961,6211,7488,7366,7478,7696,8953,9230,8048,7710,8445,7578,5238,3904,2668,1334,419
07L,E38000004,220062,109837,110225,9726,9938,8242,6754,6639,8291,9488,9487,8769,7918,6902,5444,3797,2925,1984,1468,1089,673,256,47,9286,9637,7837,6596,6894,9365,10474,9565,7931,7108,6299,4762,3737,3042,2358,1941,1562,1146,525,160
07M,E38000005,413623,200903,212720,13595,14139,12301,10752,11680,16264,17465,17608,15590,13982,12812,10954,8932,7821,6117,4327,3488,1995,867,214,13007,13485,11806,10451,14075,18426,19033,17863,15065,14113,12928,11250,9339,8752,7344,5408,4560,3277,1851,687
07N,E38000011,237751,114929,122822,7881,8206,7184,7059,6825,7692,7404,7793,7542,8284,8527,7367,5737,5351,4343,3248,2461,1386,523,116,7370,7847,7004,6592,7099,8504,8620,8634,7967,8638,8925,7422,5994,5920,5126,4073,3366,2287,1068,366
07P,E38000020,367920,189677,178243,11682,11794,10703,10069,11403,17587,20442,18821,15531,14039,12463,10037,7780,5688,4112,3349,2425,1229,417,106,11059,11362,10216,9560,11986,17266,17914,15610,12733,11862,11204,9615,7309,5968,4761,3917,3120,1741,786,254
07Q,E38000023,344886,168878,176008,10787,11288,10204,9175,8565,10024,11099,12441,12733,13258,13125,10995,8555,8328,6761,4614,3675,2204,857,190,10190,10901,9700,8547,8661,11171,12247,13481,12581,12879,12819,10638,8643,8990,7682,5965,4998,3595,1705,615
07R,E38000027,275867,133297,142570,6425,6270,5472,6455,13470,16822,16852,14075,10650,8724,7266,5561,4339,3600,2871,1946,1356,793,287,63,5959,6051,5538,7524,21005,20655,16817,12107,9176,7712,6529,5351,4474,4095,3419,2443,1778,1142,572,223
07T,E38000035,309593,153224,156369,10705,10100,8789,7666,8680,16047,19489,16638,12450,10810,9593,7240,4971,3639,2376,1815,1294,657,224,41,10330,9695,8403,7603,10902,20798,21390,15354,10746,9226,8545,6669,5017,3751,2726,2137,1552,938,447,140
07V,E38000040,405559,203435,202124,13806,13887,12149,12037,11862,15126,16792,17049,15405,15114,15033,12254,9304,7870,5798,4239,3218,1718,639,135,13180,13335,11589,10935,11816,16269,17394,16122,13919,14300,14285,11602,9043,8058,6606,5188,4002,2646,1353,482
07W,E38000048,429105,222683,206422,13783,14559,12578,11600,12627,19291,23115,22771,19407,16868,14617,11647,8790,7128,4995,4013,2809,1397,554,134,13049,13750,11792,10732,13224,19281,20600,18756,15443,13539,12435,10530,8719,7264,5734,4604,3458,2142,1032,338
07X,E38000057,332558,162008,170550,11888,12542,11123,10154,9607,11405,12146,12739,11661,11828,11402,9509,7048,5948,4747,3551,2617,1473,508,112,11373,11922,10776,9516,10115,13298,14093,13535,12017,11900,11461,9409,7529,6419,5441,4508,3529,2257,1089,363
07Y,E38000084,306710,157774,148936,10645,10590,8841,7630,8214,13404,17256,16821,13391,11373,9966,8151,6283,5166,3847,2789,1934,1030,361,82,10194,9855,8264,7155,8697,13518,15642,14065,10824,9969,8933,7659,6305,5526,4176,3181,2457,1500,763,253
08A,E38000066,289258,141740,147518,11145,10530,8485,7448,8426,11742,13101,12766,11185,10650,9564,7719,5719,4567,3526,2341,1647,853,269,57,10649,10174,8241,7559,9879,13682,14780,13330,10976,9951,8994,7316,5594,4858,3978,2945,2219,1441,711,241
08C,E38000070,210665,104166,106499,5669,5530,4778,4126,5897,11584,13906,11937,9021,7603,6453,4902,3662,3115,2303,1623,1135,615,244,63,5509,5494,4702,4166,8089,15211,13323,9901,7690,7050,6001,4581,3727,3288,2693,2144,1428,940,402,160
08D,E38000072,312744,154582,158162,9656,9353,8526,7784,8848,14766,16639,15640,13132,11966,10893,8169,5917,4509,3265,2561,1775,831,291,61,9271,9177,8188,7659,10692,17326,17081,14669,12017,11144,10304,8005,6123,5176,3902,3059,2248,1369,554,198
08E,E38000074,261917,131325,130592,8448,8628,7732,7730,7785,10563,11697,11774,9722,8637,8247,7167,6222,5146,4157,3298,2437,1302,504,129,8050,8310,7119,6422,7993,10741,11642,10718,8419,8327,8181,7366,6420,5757,4853,3875,3081,2036,911,371
08F,E38000077,274197,133198,140999,8741,8761,7647,7592,7867,9161,9250,9195,8581,9350,9625,8855,7001,6718,5385,3786,3055,1870,630,128,8492,8273,7589,7321,8102,9956,10192,9566,8601,9384,9969,8743,7095,7223,6366,4890,4297,3084,1424,432
08G,E38000082,306654,155772,150882,10622,10624,9066,9352,10704,11722,12704,13123,11594,11256,10673,9040,7053,5768,4500,3275,2564,1451,553,128,9943,10268,8499,8581,10314,11877,12854,12127,10102,9948,9604,8116,6578,5973,4999,4051,3441,2199,1026,382
08H,E38000088,245249,119859,125390,6670,5917,5016,4996,7586,14184,16953,13137,9511,8567,7685,5738,4185,3452,2445,1753,1147,636,239,42,6195,5712,4822,5129,10380,19071,17852,11861,8407,7511,7071,5490,4177,3560,2849,2111,1597,1016,434,145
08J,E38000090,204510,101709,102801,6425,6486,5637,5075,6998,7617,8117,9136,8768,8204,7253,5682,4339,4009,3107,2034,1508,871,337,106,6212,6388,5563,5616,9159,8025,8293,8565,7864,7020,6360,5246,4332,4102,3280,2446,1882,1419,734,295
08K,E38000092,398743,200946,197797,10990,10172,9170,8682,11709,24658,25958,21951,17271,15600,13915,10079,6814,4974,3362,2517,1760,961,316,87,10457,9912,8928,8325,15613,30650,25196,18524,13998,12677,11773,9042,6406,4951,3837,3108,2172,1430,604,194
